Sample_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,
ACH-000013,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,,,Female,DSMZ,2,-5.31986219931575,,RPMI + 10% FBS,92,CVCL_1882,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00093,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-000391,MHH-ES-1,MHHES1,MHHES1_BONE,,908134,Male,DSMZ,2,-2.88224641721122,Adherent,RPMI + 10% FBS,61.4,CVCL_1411,339,ascites,Metastasis,Bone Cancer,Ewings Sarcoma,12,SIDM00386,,bone,Ewing_sarcoma,,EWS_FLI,
ACH-000469,YH-13,YH13,YH13_CENTRAL_NERVOUS_SYSTEM,,909905,Male,HSRRB,2,-4.80246423033844,Adherent,EMEM + 20% FBS,51.8,CVCL_1795,468,central_nervous_system,Primary,Brain Cancer,Glioblastoma,40,SIDM00316,,central_nervous_system,glioma,glioblastoma,,
ACH-001510,H376,H376,H376_UPPER_AERODIGESTIVE_TRACT,,,Female,Sigma-Aldrich,2,-4.23598338524261,Adherent,DMEM:HAMS F12 (1:1 mix) + 10%FBS + 2mM Glutamine + 0.5 ug/ml sodium hydrocortisone succinate,88.2,,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",40,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-000876,MDA-MB-415,MDAMB415,MDAMB415_BREAST,,924240,Female,ATCC,3,-3.71756299286568,Adherent,L15 + 15% FBS + 2mM Glutamine + 10ug/ml Insulin + 10ug/ml Glutathione,92,CVCL_0621,344,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,38,SIDM00630,,breast,breast_carcinoma,ERpos_HER2neg,HER2_amp,
ACH-000980,NCI-H1155,NCIH1155,NCIH1155_LUNG,,908467,Male,ATCC,2,-6.51950514539855,Suspension,DMEM:F12 (1:1) + 10% FBS + NEAA,74.2,CVCL_1456,801,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",36,SIDM00651,,lung,NSCLC,NSCLC_large_cell,,
ACH-000377,SNU-478,SNU478,SNU478_BILIARY_TRACT,,,Unknown,KCLB,2,-3.50257792251294,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,80.4,CVCL_5065,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",,SIDM00160,,bile_duct,cholangiocarcinoma,extrahepatic,,
ACH-001687,UM-RC-3,UMRC3,UMRC3_KIDNEY,,,Unknown,Sigma-Aldrich,2,-3.64590467292229,Adherent,EMEM (EBSS) + 10% FBS + 2mM Glutamine + 1% Non Essential Amino Acids (NEAA),85.7,,,kidney,Primary,Kidney Cancer,Carcinoma,,,,kidney,,,,
ACH-000174,CAL-62,CAL62,CAL62_THYROID,,906828,Female,DSMZ,2,-4.53910742770756,,DMEM + 10% FBS,92.5,CVCL_1112,1753,pleural_effusion,Primary,Thyroid Cancer,"Carcinoma, anaplastic",70,SIDM00931,,thyroid,thyroid_carcinoma,anaplastic,,
ACH-000292,NCI-H841,NCIH841,NCIH841_LUNG,,1240192,Male,ATCC,2,-3.24715499000899,,DMEM:F12 (1:1) + 10% FBS + 1ml Insulin-Transferrin-Selenium,55.2,CVCL_1595,1372,lung,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),51,SIDM01134,,lung,SCLC,,,
ACH-000116,OAW28,OAW28,OAW28_OVARY,,946360,Female,ECACC,2,-4.53244487330183,Adherent,DMEM + 10% FBS,50.1,CVCL_1614,173,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00481,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-000807,SNU-738,SNU738,SNU738_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,2,-3.62440828270807,,RPMI + 10% heat inactivated FBS + 300mg/L L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,40.7,CVCL_5087,,central_nervous_system,,Brain Cancer,Oligodendroglioma,40,,,central_nervous_system,glioma,oligodendroglioma,,
ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,,905984,Female,Academic lab,2,-4.7370976023735,Mixed adherent and suspension,RPMI + 5% FBS,83.1,CVCL_1691,1781,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00083,,central_nervous_system,glioma,,,
ACH-000115,VCaP,VCAP,VCAP_PROSTATE,,1299075,Male,ATCC,2,-2.86808810121495,Adherent,DMEM+10 %FBS,54.2,CVCL_2235,2154,bone,Metastasis,Prostate Cancer,Adenocarcinoma,59,SIDM01077,,prostate,prostate_adenocarcinoma,,,
ACH-001033,CHLA-57,CHLA57,CHLA57_BONE,,,Unknown,Children&#39,s Oncology Group,2,-1.9608909709117,not found,not found,54.5,CVCL_0B49,,bone,,Bone Cancer,Ewings Sarcoma,,,,bone,Ewing_sarcoma,,
ACH-002059,P30/OHK,P30OHK,P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,RIKEN,2,-3.92560752285464,Suspension,RPMI1640+10%FBS,77.5,CVCL_1631,,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",11,SIDM00364,,blood,ALL,b_cell,,
ACH-002019,HOKUG,HOKUG,HOKUG_CERVIX,,,Female,RIKEN,2,-4.42655748498172,Adherent,HamF12+15%FBS,93,,,cervix,Primary,Cervical Cancer,Glassy Cell Carcinoma,53,,,cervix,glassy_cell_carcinoma,,,
ACH-000963,CCK-81,CCK81,CCK81_LARGE_INTESTINE,,1240123,Female,HSRRB,3,-1.64134996024314,,EMEM + 10% FBS,50.1,CVCL_2873,1915,large_intestine,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00487,,colorectal,colorectal_adenocarcinoma,,MSI,
ACH-000898,SNU-719,SNU719,SNU719_STOMACH,,,Male,KCLB,2,-3.47391889563335,,RPMI + 10% FBS + 2mM L-glutamine,80,CVCL_5086,,stomach,Primary,Gastric Cancer,"Adenocarcinoma, tubular",53,,,gastric,gastric_adenocarcinoma,tubular,,
ACH-000430,TYK-nu,TYKNU,TYKNU_OVARY,,909774,Female,HSRRB,,,,,,CVCL_1776,476,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00321,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-000766,NCI-H1648,NCIH1648,NCIH1648_LUNG,,687799,Male,ATCC,4,-3.79656284667808,Mixed adherent and suspension,RPMI + 10% FBS,87.9,CVCL_1482,712,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,SIDM00746,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000668,HCC70,HCC70,HCC70_BREAST,,907048,Female,ATCC,,,,,,CVCL_1270,937,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,49,SIDM00673,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,
ACH-000078,MHH-NB-11,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135,Male,DSMZ,3,-2.1245240357019,Adherent,RPMI + 10% FBS,60.3,CVCL_1412,1818,autonomic_ganglia,Metastasis,Neuroblastoma,,4,SIDM00387,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,
ACH-001347,H157,H157,H157_UPPER_AERODIGESTIVE_TRACT,,,Male,Sigma-Aldrich,2,-3.58835191203326,Adherent,DMEM:HAMS F12 (1:1) + 10% FBS + 2mM Glutamine + 0.5 ug/ml sodium hydrocortisone succinate,86,,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, buccal mucosa",84,,,upper_aerodigestive,upper_aerodigestive_squamous,buccal_mucosa,,
ACH-000481,NCI-H2170,NCIH2170,NCIH2170_LUNG,,687815,Male,ATCC,3,-3.46615144861841,Mixed adherent and suspension,RPMI + 10% FBS,85.6,CVCL_1535,1811,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00716,,lung,NSCLC,NSCLC_squamous,,
ACH-000434,NCI-H1915,NCIH1915,NCIH1915_LUNG,,1240184,Female,ATCC,2,-3.37226334191045,Adherent,RPMI + 10% FBS,85.6,CVCL_1505,1823,central_nervous_system,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",61,SIDM00763,,lung,NSCLC,NSCLC_large_cell,,
ACH-001332,BICR 78,BICR78,BICR78_UPPER_AERODIGESTIVE_TRACT,,1240122,Male,Sigma-Aldrich,2,-2.05727776858689,Adherent,DMEM + 10% FBS + 2mM glutamine + 0.4 micrograms/ml Hydrocortisone,92.5,CVCL_2315,913,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,SIDM00501,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-001461,C99,C99,C99_LARGE_INTESTINE,,,Male,ECACC,2,-1.56857654372763,Adherent,IMDM + 10% FBS + 2 mM Glutamine,45.4,CVCL_8176,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,69,,,colorectal,colorectal_adenocarcinoma,,,
ACH-000271,SU-DHL-10,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331033,Male,DSMZ,2,-3.63091070182786,,RPMI + 20% FBS,45,CVCL_1889,269,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),25,SIDM00389,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-000605,TE-6,TE6,TE6_OESOPHAGUS,,946355,Male,RIKEN,2,-3.13779555967202,Adherent,RPMI + 10% FBS,60,CVCL_1765,1642,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00328,,esophagus,esophagus_squamous,,,
ACH-000809,KYSE-410,KYSE410,KYSE410_OESOPHAGUS,,753574,Male,DSMZ,2,-4.25480944387567,Adherent,RPMI + 10% FBS,91.3,CVCL_1352,952,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,51,SIDM01028,,esophagus,esophagus_squamous,,,
ACH-001443,ASH-3,ASH3,ASH3_THYROID,,1290722,Female,JCRB,2,-5.10593222186263,Adherent,DMEM:RPMI 1640 (1:1 mix) + 10% FBS,92,CVCL_2856,891,thyroid,Primary,Thyroid Cancer,Carcinoma,68,SIDM00491,,thyroid,thyroid_carcinoma,,,
ACH-000312,SK-N-BE(2),SKNBE2,SKNBE2_AUTONOMIC_GANGLIA,,,Male,ATCC,4,-3.30266156490051,Mixed adherent and suspension,EMEM:F12 (1:1) + 10% FBS,50.9,CVCL_0528,,bone_marrow,Metastasis,Neuroblastoma,,2,SIDM00894,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,
ACH-000355,NCI-H82,NCIH82,NCIH82_LUNG,,688031,Male,ATCC,2,-2.81063439965594,Adherent,RPMI + 10% FBS,49.2,CVCL_1591,1545,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),41,SIDM01131,,lung,SCLC,,,
ACH-000885,TOV-21G,TOV21G,TOV21G_OVARY,,1240222,Female,ATCC,3,-3.84234345947894,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS,62.3,CVCL_3613,700,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",62,SIDM01169,,ovary,ovary_adenocarcinoma,clear_cell,,
ACH-000182,SNU-869,SNU869,SNU869_BILIARY_TRACT,,,Unknown,KCLB,1,-5.87234342373728,Adherent,RPMI + 10% heat inactivated FBS + 300mg/L L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,90.8,CVCL_5101,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",,SIDM00159,,bile_duct,cholangiocarcinoma,extrahepatic,,
ACH-000935,MDST8,MDST8,MDST8_LARGE_INTESTINE,,1240173,Unknown,ECACC,3,-2.85059288146799,Adherent,DMEM + 10% FBS + 2mM Glutamine,72.2,CVCL_2588,928,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00527,,colorectal,colorectal_adenocarcinoma,,,
ACH-000961,Ishikawa (Heraklio) 02 ER-,ISHIKAWAHERAKLIO02ER,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,,,Female,ECACC,2,-2.97524262828636,,MEM + 10% FBS,43.7,CVCL_6543,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,39,SIDM00037,,uterus,endometrial_adenocarcinoma,,,
ACH-000060,Panc 10.05,PANC1005,PANC1005_PANCREAS,,925348,Male,ATCC,2,-3.42263342080136,Adherent,RPMI + 15% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 60ug/ml Insulin + 10mM HEPES + 1.5g/l Sodium bicarbonate + 4.5g/l Glucose,93.2,CVCL_1639,197,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56,SIDM01135,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000627,LCLC-103H,LCLC103H,LCLC103H_LUNG,,753586,Male,DSMZ,2,-4.44061641397097,Adherent,RPMI + 10% FBS,93.6,CVCL_1375,1502,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",61,SIDM00345,,lung,NSCLC,NSCLC_large_cell,,
ACH-001858,SSP-25,SSP25,SSP25_BILIARY_TRACT,,,Female,Academic lab,2,-5.7356412777731,Adherent,RPMI + 10% FBS,94.3,,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",,SIDM00275,,bile_duct,cholangiocarcinoma,intrahepatic,,
ACH-000222,AsPC-1,ASPC1,ASPC1_PANCREAS,,910702,Female,ATCC,3,-2.67410392559548,Adherent,RPMI + 10% FBS,42.8,CVCL_0152,59,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",62,SIDM00899,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000086,ACC-MESO-1,ACCMESO1,ACCMESO1_PLEURA,,,Female,RIKEN,2,-4.05406939467259,,RPMI + 10% FBS + Glutamax + Sodium pyruvate,78.6,CVCL_5113,,pleura,,Lung Cancer,Mesothelioma,61,,,lung,mesothelioma,,,
ACH-000255,LMSU,LMSU,LMSU_STOMACH,,,Female,RIKEN,2,-3.48771403771121,,F12 + 10% FBS,86.2,CVCL_4849,,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,27,,,gastric,gastric_adenocarcinoma,,,
ACH-001673,TFK-1,TFK1,TFK1_BILIARY_TRACT,,,Male,DSMZ,2,-5.46129152983591,Adherent,RPMI 1640 + 10% FBS,90.9,CVCL_2214,,biliary_tract,Primary,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",63,,,bile_duct,cholangiocarcinoma,extrahepatic,,
ACH-000915,IPC-298,IPC298,IPC298_SKIN,,907171,Female,DSMZ,1,-5.80130129846632,Adherent,RPMI + 10% FBS,94.3,CVCL_1307,77,skin,Primary,Skin Cancer,Melanoma,64,SIDM01059,,skin,melanoma,,,
ACH-000602,M-07e,M07E,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,2,-4.4258086878947,Suspension,RPMI 1640 + 20% h.i. FBS + IL-3 (10 ng/ml) or GM-CSF (10 ng/ml),60,CVCL_2106,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",0.5,,,blood,AML,M7,,
ACH-000993,JHUEM-7,JHUEM7,JHUEM7_ENDOMETRIUM,,,Female,RIKEN,2,-3.70886261451308,,DMEM:F12 (1:1) + 10% FBS + NEAA,69.8,CVCL_4658,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,58,,,uterus,endometrial_adenocarcinoma,,,
ACH-000257,COR-L279,CORL279,CORL279_LUNG,,910937,Male,ECACC,2,-2.09971585071295,,RPMI + 10% FBS + 2mM Glutamine,84.9,CVCL_1140,1768,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),63,SIDM00511,,lung,SCLC,,,
ACH-000596,LCLC-97TM1,LCLC97TM1,LCLC97TM1_LUNG,,946361,Male,DSMZ,2,-3.02117350055284,,RPMI + 20% FBS,48.6,CVCL_1376,485,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,SIDM00344,,lung,NSCLC,NSCLC_large_cell,,
ACH-001048,COV504,COV504,COV504_OVARY,,,Female,ECACC,2,-4.75498578121794,Adherent,DMEM + 10% FBS + 2mM L-glutamine,87,CVCL_2424,,pleural_effusion,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-000467,HCC-56,HCC56,HCC56_LARGE_INTESTINE,,1290907,Unknown,HSRRB,3,-3.8193186709505,,EMEM + 10% FBS,71.9,CVCL_2917,1036,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00597,,colorectal,colorectal_adenocarcinoma,,,
ACH-001494,EGI-1,EGI1,EGI1_BILIARY_TRACT,,906853,Male,DSMZ,2,-4.40761685981718,Adherent,MEM + 10% FBS + 2x MEM amino acids (both essential and non-essential) + 4 mM L-glutamine + 1 mM sodium pyruvate,77.9,CVCL_1193,1315,biliary_tract,Primary,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",52,SIDM01050,,bile_duct,cholangiocarcinoma,extrahepatic,,
ACH-000234,Caki-2,CAKI2,CAKI2_KIDNEY,,,Male,ATCC,2,-2.95329490034717,Adherent,McCoy's 5A + 10% FBS,55.5,CVCL_0235,,kidney,Primary,Kidney Cancer,"Renal Carcinoma, clear cell",69,,,kidney,renal_cell_carcinoma,clear_cell,,
ACH-000317,TUHR14TKB,TUHR14TKB,TUHR14TKB_KIDNEY,,,Male,RIKEN,2,-3.23376886724793,Adherent,RPMI + 10% FBS,63,CVCL_5953,,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,,,kidney,renal_cell_carcinoma,,,
ACH-000247,OCUM-1,OCUM1,OCUM1_STOMACH,,1298358,Female,HSRRB,2,-3.15757832331748,,DMEM + 10% FBS,84.5,CVCL_3084,1712,stomach,Metastasis,Gastric Cancer,Adenocarcinoma,38,SIDM00568,,gastric,gastric_adenocarcinoma,diffuse_gastric,,
ACH-001197,,SMZ1,SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SMZ-1,,Male,Academic lab,3,-2.76093428657962,not found,not found,76,CVCL_RL84,,ascites,,Lymphoma,,,,,lymphocyte,lymphoma_unspecified,,,
ACH-000867,ChaGo-K-1,CHAGOK1,CHAGOK1_LUNG,,687596,Male,ECACC,2,-4.97410830329958,Adherent,RPMI + 10% FBS,94.4,CVCL_1121,1605,lung,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",45,SIDM00924,,lung,NSCLC,,,
ACH-001548,LS,LS,LS_AUTONOMIC_GANGLIA,,,Female,DSMZ,2,-2.12762695156,Adherent,RPMI 1640 + 10% FBS,73.1,CVCL_2105,,autonomic_ganglia,Metastasis,Neuroblastoma,,1.3,,,peripheral_nervous_system,neuroblastoma,,,
ACH-000887,SF-172,SF172,SF172_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2,-5.51673445577808,not found,not found,85,CVCL_V613,,central_nervous_system,,Brain Cancer,Glioblastoma,,,,central_nervous_system,glioma,glioblastoma,,
ACH-002018,Omm2.5,OMM25,OMM25_UVEA,,,Male,Academic lab,2,-5.59174366091305,Adherent,RPMI 1640 + 20% FBS (w/3mM L-glutamine),79,,,liver,Metastasis,Eye Cancer,Uveal Melanoma,,,,eye,uveal_melanoma,,,
ACH-000452,TE-8,TE8,TE8_OESOPHAGUS,,753623,Male,RIKEN,2,-5.5689649525609,,RPMI + 10% FBS,71.5,CVCL_1766,2253,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00326,,esophagus,esophagus_squamous,,,
ACH-000849,MDA-MB-468,MDAMB468,MDAMB468_BREAST,,908123,Female,ATCC,1,-4.48104841200278,Adherent,DMEM + 10% FBS,90.6,CVCL_0419,415,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,51,SIDM00628,,breast,breast_carcinoma,ERneg_HER2neg,basal_A,
ACH-002045,HO-1-u-1,HO1U1,HO1U1_UPPER_AERODIGESTIVE_TRACT,,,Male,RIKEN,1,-2.97446352323876,Adherent,RPMI1640+10%FBS,92,CVCL_2784,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,SIDM00591,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-000330,EFM-19,EFM19,EFM19_BREAST,,906851,Female,DSMZ,2,-2.87908975188193,,RPMI + 10% FBS,68,CVCL_0253,1786,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,50,SIDM01056,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,
ACH-000912,NCI-H2286,NCIH2286,NCIH2286_LUNG,,,Female,ATCC,2,-4.8602928888205,,DMEM:F12 (1:1) + 10% FBS + 1x Insulin-Transferrin-Selenium,75.6,CVCL_1545,,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),57,SIDM00017,,lung,SCLC,,,
ACH-000237,JHOM-1,JHOM1,JHOM1_OVARY,,,Female,RIKEN,3,-4.40579271691084,Adherent,DMEM:F12 (1:1) + 10% FBS + 0.1mM NEAA,63.3,CVCL_4644,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mucinous",88,,,ovary,ovary_adenocarcinoma,mucinous,,
ACH-000711,JIMT-1,JIMT1,JIMT1_BREAST,,1298157,Female,DSMZ,3,-6.46141829217205,,RPMI + 10% FBS,95.5,CVCL_2077,479,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,62,SIDM01037,,breast,breast_ductal_carcinoma,ERneg_HER2pos,basal_A,
ACH-000565,RCM-1,RCM1,RCM1_LARGE_INTESTINE,,909263,Female,HSRRB,0,-2.38049430503987,Adherent,RPMI:F12 (1:1) + 20% FBS,79.1,CVCL_1648,1271,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,73,SIDM00359,,colorectal,colorectal_adenocarcinoma,,,
ACH-001346,H103,H103,H103_UPPER_AERODIGESTIVE_TRACT,,,Male,Sigma-Aldrich,2,-4.36834465247837,Adherent,DMEM:HAMS F12 (1:1) + 10% FBS + 2mM Glutamine + 0.5 ug/ml sodium hydrocortisone succinate,88.7,CVCL_2457,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, buccal mucosa",32,,,upper_aerodigestive,upper_aerodigestive_squamous,buccal_mucosa,,
ACH-000402,BL-70,BL70,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,1,-2.17785161027817,Adherent,RPMI + 10% heat inactivated FBS + 1mM Sodium pyruvate + 50uM 2-Mercaptoethanol,37.3,CVCL_1088,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",16,SIDM00074,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,
ACH-001394,SUM-229PE,SUM229PE,SUM229PE_BREAST,,,Female,Asterand,2,-3.60873740327164,Adherent,HAM's F-12 + 5% FBS + 10mM HEPES + Hydrocortisone 1ug/ml + Insulin 5ug/ml,95,CVCL_5594,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,,,,breast,breast_carcinoma,ERneg_HER2neg,basal,
ACH-000168,NOMO-1,NOMO1,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908451,Female,HSRRB,2,-2.18019764897772,Adherent,RPMI + 10% FBS,82.2,CVCL_1609,297,bone_marrow,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",31,SIDM00580,,blood,AML,M5,,
ACH-000799,Hs 695T,HS695T,HS695T_SKIN,,,Male,ATCC,2,-3.06350540391714,Adherent,EMEM + 10% FBS,62.2,CVCL_0851,,lymph_node,Metastasis,Skin Cancer,"Melanoma, amelanotic",26,,,skin,melanoma,amelanotic,,
ACH-001520,HG-3,HG3,HG3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,2,-3.18599282441363,Mixed,RPMI 1640 + 10% FBS,84.9,,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"B-cell, unspecified",70,,,blood,unspecified_leukemia,b_cell,,
ACH-002510,M040416,M040416,M040416_SKIN,,,Male,Academic lab,2,-4.23688246920482,Adherent,RPMI 1640 +10% FBS,47,,,skin,Metastasis,Skin Cancer,"Melanoma, acral",54,,,skin,melanoma,acral,,
ACH-001453,BPH-1,BPH1,BPH1_PROSTATE,,924105,Male,DSMZ,2,-3.46846432425357,Adherent,RPMI 1640 + 20% FBS + 20 ng/ml testosterone + 5 g/ml transferrin + 5 ng/ml sodium selenite + 5 g/ml insulin,86.2,CVCL_1091,1223,prostate,Primary,Prostate Cancer,Prostate Hyperplasia,68,SIDM00964,,prostate,prostate_hyperplasia,,,
ACH-000269,AM-38,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,,910933,Male,HSRRB,,,,,,CVCL_1070,776,central_nervous_system,Primary,Brain Cancer,Glioblastoma,36,SIDM00492,,central_nervous_system,glioma,glioblastoma,,
ACH-000970,SNU-C5,SNUC5,SNUC5_LARGE_INTESTINE,,1674021,Female,KCLB,,,,,,CVCL_5112,152,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,77,SIDM00498,,colorectal,colorectal_adenocarcinoma,,,
ACH-000903,FTC-133,FTC133,FTC133_THYROID,,906864,Male,ECACC,2,-4.1635187567006,Adherent,DMEM:F12 (1:1) + 10% FBS + 2mM Glutamine,75.1,CVCL_1219,1007,thyroid,Metastasis,Thyroid Cancer,"Carcinoma, anaplastic",42,SIDM00213,,thyroid,thyroid_carcinoma,anaplastic,,
ACH-000654,Raji,RAJI,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909262,Male,ATCC,2,-4.28916882844971,,RPMI + 10% FBS,84.4,CVCL_0511,1762,bone,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",12,SIDM00844,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,
ACH-001344,GI-ME-N,GIMEN,GIMEN_AUTONOMIC_GANGLIA,,906872,Male,DSMZ,1,-1.22843162892638,Adherent,RPMI 1640 + 10% FBS,47.1,CVCL_1232,1530,bone_marrow,Metastasis,Neuroblastoma,,4,SIDM00227,,peripheral_nervous_system,neuroblastoma,,,
ACH-000634,LN-340,LN340,LN340_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,1,-3.70517516283769,not found,not found,49.7,CVCL_3955,,central_nervous_system,,Brain Cancer,Glioblastoma,,,,central_nervous_system,glioma,glioblastoma,,
ACH-000206,,C8166,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Unknown,Sigma-Aldrich,2,-2.81232474554792,Suspension,"RPMI-1640: 90.0%,10FBS+Glutamax-1",79.5,CVCL_1099,,haematopoietic_and_lymphoid_tissue,,Lymphoma,ATL,,SIDM00072,,lymphocyte,ATL,,,
